,Jan,Feb,Mar,April,May,June,July,Aug,Sep,To Date,Estimate,Remaining,,July,Aug,Sep,,Discounted
Project Oversight / Support,53.75,74.83,41.25,59.75,68.5,40,53,43,28.5,462.58,165,-297.58,,53,43,28.5,,0
UX,,5,,,,,,1,0.5,6.5,10,3.5,,,1,0.5,,0
Designs,0.75,32,31.5,0,0,0,0,0,,64.25,100,35.75,,0,0,,,0
Design System / Components,0.75,13.25,4.25,,,,,,,18.25,,,,,,,,0
Header / Footer / Homepage,,8,4.25,,,,,,,12.25,,,,,,,,0
PLP,,4.75,2.25,,,,,,,7,,,,,,,,0
PDP,,4,4.25,,,,,,,8.25,,,,,,,,0
Brands,,,,,,,,,,0,,,,,,,,0
Academic Purchasing,,2,16.5,,,,,,,18.5,,,,,,,,0
Store Locator,,,,,,,,,,0,,,,,,,,0
UI Development,0,2.5,49,125.25,133.33,37.48,69.25,268.75,137.75,685.56,445,-240.56,,0,157.25,84.75,,233.75
Globals & Style Guide,,,18,,,,,,,18,30,12,,,,,,0
Components,,,2.75,9.25,8,1.5,,,,21.5,30,8.5,,,,,,0
Global Header,,,6.25,4.75,,,,,,11,30,19,,,,,,0
Mega Menu,,,,5.75,,,,,,5.75,40,34.25,,,,,,0
Global Footer,,,8.5,0.5,,,,,,9,20,11,,,,,,0
Content Sections (Homepage),,,,64.5,2.5,0.25,,,,67.25,70,2.75,,,,,,0
Content Pages (5 custom sections),,,,,,,,,,0,10,10,,,,,,0
PDP,,,,3.75,34.88,20.48,3.25,2.25,0.5,65.11,70,4.89,,3.25,2.25,0.5,,0
PLP,,,,8.5,14.5,4.75,,,,27.75,50,22.25,,,,,,0
Quicklook,,,,0.25,4.5,1.25,,,,6,0,-6,,,,,,0
Search,,,9.75,2.75,3.5,,,,,16,20,4,,,,,,0
Account,,,,,,,,,,0,5,5,,,,,,0
Cart (Mini & Full),,,,17.5,25.5,5.5,0.5,,,49,10,-39,,0.5,,,,0
Store Locator (basic),,,,,,0.5,,,,0.5,5,4.5,,,,,,0
BOPIS,,,,,,,,,,0,40,40,,,,,,0
Checkout,,,,0.25,,,,,,0.25,5,4.75,,,,,,0
Inventory,,,,,,,,,,0,0,0,,,,,,0
Shipping,,,,,,,,,,0,0,0,,,,,,0
Brands,,,,,9.25,1,,,,10.25,10,-0.25,,,,,,0
Emails,,,,,,,8.5,1.25,,9.75,,,,8.5,1.25,,,0
Pages,,,,,,,,,,0,0,0,,,,,,0
Academic Purchasing,,2.5,3.75,,,,55.75,152.5,97.75,312.25,0,-312.25,,55.75,41,44.75,,164.5
Textbook PDP,,,,,,,,,4,,,,,,,4,,0
Customized Products,,,,,3.25,1.5,1,,,5.75,0,-5.75,,1,,,,0
Scholarships,,,,,,,,84.75,35.25,120,0,,,,84.75,35.25,,0
Donations,,,,7.5,27.45,0.75,0.25,28,0.25,64.2,0,-64.2,,0.25,28,0.25,,0
ERP Integrations,0,4.75,57.25,3.25,87.5,85.5,75.5,45.5,3,362.25,270,-92.25,,72,0,3,,49
"Scholarship Integration
(Watchman scope -> Netsuite)",,2.5,,0.5,63,23.75,75.5,45.5,3,213.75,180,-33.75,,75.5,45.5,3,,0
Scholarship POS Extension,,2.25,57.25,2.75,24.5,52.25,,,,139,90,-49,,,,,,0
Gift Cards,,,,,,9.5,,,,9.5,0,-9.5,,,,,,0
Migrations,0,0,0,0,0,8.43,,,,8.43,0,-8.43,,,,,,0
Catalog,,,,,,,,,,0,,,,,,,,0
Customer,,,,,,,,,,0,,,,,,,,0
Orders,,,,,,,,,,0,,,,,,,,0
Gift Cards,,,,,,8.43,,,,8.43,,,,,,,,0
3rd Parties,0,0,0,0,1,0,,,,1,8,7,,,,,,0
Klaviyo,,,,,1,,,,,1,2,,,,,,,0
ShipHawk,,,,,,,,,,0,2,2,,,,,,0
Reviews,,,,,,,,,,0,2,2,,,,,,0
Instagram,,,,,,,,,,0,2,2,,,,,,0
SEO & Analytics,0,0,0,0,0,0,0.75,,,0,10,10,,0,,,,0.75
Analytics,,,,,,,,,,0,,,,,,,,0
SEO,,,,,,,,,,0,,,,,,,,0
POS,0,0,0,0,0,0,,,,0,0,0,,,,,,0
Support,,,,,,,,,,0,,,,,,,,0
Launch Set Up,,,,,,,,,,0,0,0,,,,,,0
Subtotal,54.5,119.08,179,188.25,290.33,171.41,198.5,358.25,169.75,1559.32,1008,-551.32,,125,201.25,116.75,,283.5
,,,,,,,,,,"$280,678","$181,440","-$99,238",,,,,,"$51,030"